<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
ROSN;0;20140425;101815;224.310000000;20
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101815;224.310000000;20
ROSN;0;20140425;101815;224.310000000;40
ROSN;0;20140425;101815;224.310000000;20
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101816;224.310000000;10
ROSN;0;20140425;101818;224.410000000;30
ROSN;0;20140425;101821;224.300000000;850
ROSN;0;20140425;101821;224.290000000;1150
ROSN;0;20140425;101821;224.370000000;500
ROSN;0;20140425;101821;224.220000000;10
ROSN;0;20140425;101821;224.350000000;10
ROSN;0;20140425;101821;224.350000000;30
ROSN;0;20140425;101821;224.350000000;60
ROSN;0;20140425;101821;224.230000000;160
ROSN;0;20140425;101822;224.210000000;50
ROSN;0;20140425;101822;224.210000000;50
ROSN;0;20140425;101823;224.210000000;80
ROSN;0;20140425;101823;224.210000000;30
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101823;224.210000000;50
ROSN;0;20140425;101823;224.210000000;10
ROSN;0;20140425;101823;224.210000000;30
ROSN;0;20140425;101823;224.330000000;120
ROSN;0;20140425;101823;224.220000000;120
ROSN;0;20140425;101823;224.210000000;100
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101823;224.210000000;10
ROSN;0;20140425;101823;224.210000000;40
ROSN;0;20140425;101823;224.210000000;50
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101823;224.210000000;30
ROSN;0;20140425;101823;224.210000000;20
ROSN;0;20140425;101824;224.210000000;350
ROSN;0;20140425;101824;224.210000000;100
ROSN;0;20140425;101824;224.210000000;30
ROSN;0;20140425;101824;224.320000000;120
ROSN;0;20140425;101824;224.320000000;50
ROSN;0;20140425;101824;224.320000000;60
ROSN;0;20140425;101824;224.210000000;170
ROSN;0;20140425;101824;224.210000000;80
ROSN;0;20140425;101824;224.210000000;30
ROSN;0;20140425;101824;224.210000000;20
ROSN;0;20140425;101824;224.210000000;20
ROSN;0;20140425;101824;224.210000000;30
ROSN;0;20140425;101825;224.340000000;30
ROSN;0;20140425;101828;224.360000000;70
ROSN;0;20140425;101828;224.360000000;110
ROSN;0;20140425;101829;224.360000000;100
ROSN;0;20140425;101832;224.260000000;10
ROSN;0;20140425;101832;224.210000000;10
ROSN;0;20140425;101832;224.220000000;300
ROSN;0;20140425;101832;224.270000000;60
ROSN;0;20140425;101832;224.270000000;90
ROSN;0;20140425;101832;224.340000000;140
ROSN;0;20140425;101832;224.230000000;410
ROSN;0;20140425;101833;224.280000000;300
ROSN;0;20140425;101833;224.280000000;150
ROSN;0;20140425;101833;224.280000000;30
ROSN;0;20140425;101833;224.230000000;30
ROSN;0;20140425;101833;224.220000000;170
ROSN;0;20140425;101833;224.210000000;110
ROSN;0;20140425;101833;224.210000000;10
ROSN;0;20140425;101834;224.210000000;10
ROSN;0;20140425;101834;224.200000000;200
ROSN;0;20140425;101834;224.130000000;250
ROSN;0;20140425;101834;224.130000000;50
ROSN;0;20140425;101834;224.130000000;20
ROSN;0;20140425;101834;224.200000000;130
ROSN;0;20140425;101834;224.130000000;60
ROSN;0;20140425;101834;224.100000000;10
ROSN;0;20140425;101834;224.190000000;100
ROSN;0;20140425;101834;224.080000000;40
ROSN;0;20140425;101834;224.080000000;60
ROSN;0;20140425;101834;224.070000000;90
ROSN;0;20140425;101835;224.080000000;10
ROSN;0;20140425;101835;224.070000000;190
ROSN;0;20140425;101835;224.190000000;100
ROSN;0;20140425;101839;224.080000000;10
ROSN;0;20140425;101841;224.070000000;320
ROSN;0;20140425;101841;224.040000000;960
ROSN;0;20140425;101841;224.030000000;100
ROSN;0;20140425;101841;224.030000000;100
ROSN;0;20140425;101841;224.020000000;20
ROSN;0;20140425;101841;224.150000000;380
ROSN;0;20140425;101842;224.030000000;100
ROSN;0;20140425;101853;224.120000000;430
ROSN;0;20140425;101853;224.130000000;80
ROSN;0;20140425;101853;224.180000000;10
ROSN;0;20140425;101853;224.220000000;2000
ROSN;0;20140425;101853;224.240000000;600
ROSN;0;20140425;101853;224.240000000;350
ROSN;0;20140425;101853;224.240000000;650
ROSN;0;20140425;101853;224.370000000;500
ROSN;0;20140425;101853;224.200000000;10
ROSN;0;20140425;101853;224.190000000;10
ROSN;0;20140425;101853;224.290000000;200
